MATERIAL	DESC_MAT	QTDE	X	Y	Z
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	011	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	016	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	018	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	L	005	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	L	007	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	L	009	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	L	012	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	L	014	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	L	017	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	002	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	003	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	004	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	005	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	006	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	010	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	016	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	018	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	M	022	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	003	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	004	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	005	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	007	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	008	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	010	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	011	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	012	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	013	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	014	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	018	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	N	021	1
145280	CONECTOR PLUGUE 2P+G, DIN 43650, REF. LORAM 145280	2,00	A	028	2
145280	CONECTOR PLUGUE 2P+G, DIN 43650, REF. LORAM 145280	84,00	N	001	1
145476	145476-DIODO POLARIDADE PADRAO PARA USO NO SETOR F	1,00	A	028	2
145477	145477-DIODO POLARIDADE REVERSA PARA USO NO SETOR	1,00	A	028	2
146245	ANEL EM "O" 1.799ID X 0.103CS AS598-133 90DURO BUN	20,00	A	027	2
147013	DISJUNTOR CB 25A 2P 480V, 30MA PROTECAO GFI, REF.	10,00	A	028	2
147988	147988-VALVULA DIRECIONAL 3500PSI 15GPM, HYD 2P4W	3,00	I	024	4
147994	147994 - VALVULA DIRECIONAL, PROPOCIONAR O FLUXO D	3,00	A	028	3
147996	147996-VALVULA DIRECIONAL 5000PSI 5GPM, HYD 2P4W D	3,00	A	028	2
147996	147996-VALVULA DIRECIONAL 5000PSI 5GPM, HYD 2P4W D	1,00	J	021	1
148196	148196-VALVULA DE FLUXO MODELO 3000PSI 26GPM PARA	1,00	A	028	2
148464	ELEMENTO FILTRANTE DE AR PRIMARIO, REF. LORAM 1484	4,00	I	025	2
148464	ELEMENTO FILTRANTE DE AR PRIMARIO, REF. LORAM 1484	22,00	K	021	1
148465	148465-FILTRO DE OLEO DO COMPRESSOR PARA USO NO SE	13,00	I	018	1
148465	148465-FILTRO DE OLEO DO COMPRESSOR PARA USO NO SE	6,00	I	018	1
148465	148465-FILTRO DE OLEO DO COMPRESSOR PARA USO NO SE	6,00	J	021	1
148465	148465-FILTRO DE OLEO DO COMPRESSOR PARA USO NO SE	11,00	J	022	1
148465	148465-FILTRO DE OLEO DO COMPRESSOR PARA USO NO SE	13,00	K	022	2
148467	148467-VALVULA SOLENOIDE DE 2 VIAS COM 115PSI PARA	1,00	A	027	2
148468	148468-VALVULA REGULADORA DE PRESSAO PARA MAQUINA	1,00	A	027	2
149424	149424-RELE 24 VDC 4PDT, PARA USO EM VEICULO FERRO	1,00	A	028	2
151452	151452-FILTRO DE AR PARA MOTOR DE MAQUINA FERROVIA	25,00	J	021	1
153160	ELEMENTO FILTRANTE DE AR SECUNDARIO, REF. LORAM 15	10,00	J	023	2
153160	ELEMENTO FILTRANTE DE AR SECUNDARIO, REF. LORAM 15	14,00	K	021	1
153160	ELEMENTO FILTRANTE DE AR SECUNDARIO, REF. LORAM 15	2,00	K	022	1
153613	PARAFUSO DE CABECA HEXUAL M14 X 2,00 X 70 GR10,9;	240,00	0	0	0
156661	CONJUNTO COMPUTADOR GPS/TOBQ, REF. LORAM 156661, P	1,00	J	014	3
156742	156742-SENSOR DE LIMITE 1NO 1NC, EMBOLO SUPERIOR R	3,00	A	028	2
156742	156742-SENSOR DE LIMITE 1NO 1NC, EMBOLO SUPERIOR R	1,00	K	003	3
157056	157056-PARAFUSO DE OMBRO DE ACO PARA USO EM MAQUIN	5,00	A	028	2
157290	157290-TRANSDUTOR DE PRESSAO 3000PSI, 26GPM, REF.	1,00	A	028	2
157627	PARAFUSO SEXTAVADO M20X2.5X140 GR 10.9, REF. LORAM	24,00	0	0	0
157935	157935-ESFERA DE REBOQUE RESPONSAVEL PELA LIGACAO	1,00	A	028	2
158151	SUPORTE DO BRACO DE ALAVANCA; BLOQUEIO DE BUGGY, R	26,00	0	0	0
158151	SUPORTE DO BRACO DE ALAVANCA; BLOQUEIO DE BUGGY, R	1,00	A	029	4
158156	158156-CILINDRO HIDRAULICO 1.50BX1.00R 3.25S EYE X	1,00	A	028	2
158915	PARAFUSO CORREIA TRANSPORTADORA 4,00 MAO ESQUERDA	2,00	0	0	0
158920	158920-MOTOR REDUTOR, UTILIZADO PARA REDUZIR A VEL	1,00	J	018	2
159247	159247-CONJUNTO DA BARRA DE REBOQUE EM FERRO E COM	2,00	0	0	0
159375	159375-PARAFUSO DE ACO - HD SHLDR 0.75 - 10 NCX 3.	3,00	A	028	2
159498	FILTRO DE AR PARA ELIMINAR CONTAMINACAO POR OLEO N	8,00	I	018	1
159498	FILTRO DE AR PARA ELIMINAR CONTAMINACAO POR OLEO N	7,00	I	018	1
159499	159499-VALVULA ALIVIO DE PRESSAO PARA MAQUINA FERR	1,00	A	027	2
159655	CONJUNTO DE TUBO DOBRADO .50 X .065 SS ORFS; FUNDO	6,00	0	0	0
159713	159713-VALVULA DE DIAFRAGMA 1,00, SEM MOLA PARA US	2,00	A	028	2
160021	PARAFUSO SEXTAVADO M24X3.00X150 GR 10.9, REF. LORA	7,00	0	0	0
160296	CONECTOR PLUGUE 2P+G, DIN 43650, REF. LORAM 145280	4,00	0	0	0
160309	ROLAMENTO FLANGE 4 PARAFUSOS 1,00 DIAMETRO DO EIXO	1,00	A	028	2
160309	ROLAMENTO FLANGE 4 PARAFUSOS 1,00 DIAMETRO DO EIXO	2,00	N	001	1
160364	160364-ACIONAMENTO DO EIXO, CONJUNTO DE TRANSPORTA	1,00	A	028	2
160365	160365-SELO TIPO FLANGE RETIRADO 1,00 DIAMETRO DO	2,00	A	028	2
160404	PLC MOD DIGITAL INPUT; 32 INPUTS 24VDC MODULO DE 3	1,00	A	027	2
160408	SUPORTE DO MOTOR; CONJUNTO DE TRANSPORTADOR DE PO	4,00	0	0	0
160499	VALVULA 4 VIAS SINGLE SOL W/DIN CONECTOR, REF. LOR	1,00	A	028	2
160499	VALVULA 4 VIAS SINGLE SOL W/DIN CONECTOR, REF. LOR	2,00	J	022	1
161075	CONJUNTO DE SUPORTE DE EIXO (USE 161075-SP PARA PE	2,00	0	0	0
161612	161612-MODULO MANIFOLD PARA VALVULAS PARA MAQUINA	1,00	A	028	2
162002	162002-SUPORTE DE INCLINACAO DE ACO PARA MAQUINA F	2,00	I	010	3
162275	162275- TERMINAL DE CONEXAO PARA ALIMENTACAO DO SE	1,00	I	024	4
162279	CABO PARA CONTROLADOR LOGICO DIGITAL COM CONECTORE	1,00	A	027	2
162335	162335 - CLAMP V-BAND - MODELO - 9N1941 ABRACADEIR	4,00	A	027	2
162906	ENCODER OTICO 100 CT, MONTAGEM EM EIXO, REF. LORAM	1,00	I	025	3
162906	ENCODER OTICO 100 CT, MONTAGEM EM EIXO, REF. LORAM	2,00	J	022	1
162906	ENCODER OTICO 100 CT, MONTAGEM EM EIXO, REF. LORAM	2,00	K	022	1
163020	VALVULA TIPO BORBOLETA UTILIZADA NO SETOR FERROVIA	1,00	J	021	1
163103	163103-CONTROLADOR DE TEMPORIZADOR DO COLETOR DE P	1,00	A	028	2
163140	163140-MANOMETRO DE NIVEL DUPLO TERMICO, COM ESPAC	1,00	A	028	2
163267	163267-VALVULA BORBOLETA 2,50 IN, SPR RETORNO PNEU	1,00	A	028	2
163268	163268-VALVULA TIPO BORBOLETA PARA USO EM VEICULO	1,00	A	028	2
163339	REGUA MEDIDORA DE PERFIL DE TRILHOS 63.00 REF. LOR	2,00	J	018	1
163673	163673-VALVULA ESFERA REMOTO OPER NC, 12FNPT_04AIR	1,00	A	028	2
164322	164322-INTERRUPTOR DE LIMITE, UTILIZADO PARA SERVI	14,00	0	0	0
164722	164722-VALVULA DE ESFERA PARA MAQUINA FERROVIARIA	1,00	A	028	2
164761	CB 6.3A 3P 480V; 4.0-6.3A OVERLOAD CB 6.3A 3P 480V	2,00	A	028	2
16491	OCULOS DE PROTECAO INCOLOR OCULOS SEG SOLUS 1000 T	154,00	I	014	2
165568	165568-VALVULA SOLENOIDE PARA GATE, .38 AR 24VCC U	1,00	A	028	2
166085	166085-CONTATOR AUXILIAR DE RELE PARA USO EM VEICU	2,00	A	027	2
166248	166248-MANGUEIRA DE BORRACHA COM ACESSORIOS PARA U	1,00	I	010	3
166289	SUPORTE PARA MONTAGEM DE ABRACADEIRA; RESPONSAVEL	2,00	0	0	0
168800	REGULADOR DE VOLTAGEM 63VDC, 7A, REF. LORAM 168800	1,00	J	018	1
168800	REGULADOR DE VOLTAGEM 63VDC, 7A, REF. LORAM 168800	1,00	J	022	1
169002	MODULO CORTADOR DE ARMADURA - 800VDC 1000A, REF. 1	1,00	I	025	3
169118	169118-BRACO DE ALAVANCA SENSOR DE BUGGY ACIMA RES	1,00	A	028	2
169513	169513-LAMPADA DE DESCARGA HID PARA VEICULO FERROV	1,00	A	028	2
169914	169914-CABO DO SENSOR DE TEMPERATURA PARA MAQUINA	1,00	A	027	2
169932	169932-FILTRO DE AR DE PAPEL PLISSADO PARA MAQUINA	2,00	J	018	1
169932	169932-FILTRO DE AR DE PAPEL PLISSADO PARA MAQUINA	8,00	J	018	1
171357	FILTRO DE AGUA PARA REFRIGERACAO DO MOTOR PARA USO	6,00	I	025	2
171357	FILTRO DE AGUA PARA REFRIGERACAO DO MOTOR PARA USO	8,00	K	020	1
171788	171788-PARACHOQUE 1.01,ALTURA LIVRE REF. LORAM 171	1,00	A	028	2
171788	171788-PARACHOQUE 1.01,ALTURA LIVRE REF. LORAM 171	10,00	I	025	3
172110	172110-VALVULA SOLENOIDE DE PURGA, 24 VCC UTILIZAD	1,00	A	028	2
172844	172844-MODULO MANIFOLD PARA VALVULAS PARA MAQUINA	1,00	A	028	2
172994	172994-PARAFUSO DE ACO - HD 0.38-16NCX 3.50 GR8, P	2,00	A	028	2
173779	173779-MODULO PLC(CLP) 1756, CONTROLADOR CONTROLLO	1,00	J	018	1
174513	174513-MOLA DE GAS,RESPONSAVEL POR REALIZAR O CONT	5,00	A	029	4
176705	176705-OLEO LUBRIFICANTE SINTETICO PARA FRICCAO DE	4,00	A	029	4
177105	177105-SUPORTE DO ISOLADOR RESPONSAVEL PELA TRAVAM	1,00	A	027	2
178422	178422-FONTE DE ALIMENTACAO 480/24 40A, REF. LORAM	1,00	K	020	1
178422	178422-FONTE DE ALIMENTACAO 480/24 40A, REF. LORAM	1,00	K	020	1
179369	REDUCAO DE BUCHA DE CONDUTA; RIGIDO DE 2,5 POLEGAD	2,00	0	0	0
180857	FULLY ASSEMBLED AND BOXED GF 48" BAR - CONJUNTO DA	4,00	A	030	2
181013	6 JIC TO CHECK VALVE ADAPTER -6 SAE - VALVULA DIRE	4,00	A	028	2
181092	EXTERNAL HOSE ASSY; 3/4" DIA; 33 FT LONG - MANGUEI	2,00	A	030	5
181117	F/T EXTENSION CABLE; 35 FT - CABO DO SENSOR DE 35	1,00	A	030	5
181118	F/T EXTENSION CABLE; 35 FT - CABO DO SENSOR DE 35	1,00	A	030	5
181121	72" ENVIRO SHIELD CATCH PAN - BANDEJA DE CONTENCAO	4,00	0	0	0
181422	BAR ASSY W/O CLAMPS; MOLDED INSERT 31.7" L (0.8M)	4,00	A	030	5
181461	PTO ADAPTER KIT - CONTROLADOR DE ENERGIA - REALIZA	2,00	A	028	2
181462	PUMP ASSEMBLY ADAPTER KIT - KIT DE MONTAGEM DA BOM	2,00	A	030	2
181463	CONTROL BOX ADAPTER KIT - KIT DO CONTROLADOR ELETR	1,00	A	030	2
181464	SOLAR ADAPTER KIT - KIT DO CONTROLADOR SOLAR - ENE	1,00	A	028	2
181501	EXTERNAL HOSE ASSY; 3/4" DIA; 50 FT LONG - MANGUEI	1,00	A	030	5
181622	HOSE; 1/2"-25'L; -8 JIC TO -8 JIC ASSY; NON CONDUC	2,00	A	030	5
181623	1/2"-40' NON CONDUCTIVE HOSE -8 JIC TO -8 JIC ASSY	2,00	A	030	5
181624	3/4" - 20' NON CONDUCTIVE HOSE -12 JIC TO -12 JIC	2,00	A	030	5
181682	RAIL CLAMP - J BOLT ASSY - SUPORTE DE FIXACAO DA B	4,00	A	030	2
181926	TRACK MAT SET; LIGHT DUTY; 3 PCS; 1-58 IN 2-19 IN	2,00	0	0	0
181945-SS	WDSZ WHEEL DETECTOR AND SWIVEL BRACKET; SURE SEAL	2,00	A	030	2
181975	HOSE ASY; LBF ADAPTER KIT; 08MORB 08FJIC; 11.25" L	4,00	A	028	2
181981	ADAPTER ASY 8FJIC 12MJIC - KIT DE ADAPTADOR PARA M	4,00	A	028	2
181990	LBF ADPTER KIT; WHEEL SENSOR; SINGLE TRACK - CONEC	2,00	A	028	2
18521	MALETAS DE ANEL ORING - POLEGADA+MILIMETRO 810PCS	2,00	J	021	1
18626	ABAFADOR 3M CONCHA MUFFLER VM 21 DB - CA 14235 KIT	26,00	I	023	5
18626	ABAFADOR 3M CONCHA MUFFLER VM 21 DB - CA 14235 KIT	18,00	N	017	1
200388	200388-PINO PIVOT 1,75 OD, INCLINACAO DO MODULO PA	1,00	A	028	2
201938	201938-BLOCO DE GRAMPO, BUCHA DE INCLINACAO UTILIZ	2,00	A	028	2
201939	MANCAL DE ACO DURO; 1.75IDX2.252ODX2.016LG, REF. L	380,00	0	0	0
201939	MANCAL DE ACO DURO; 1.75IDX2.252ODX2.016LG, REF. L	15,00	A	028	2
203083	203083-TRANSFORMADOR DE CORRENTE, RELACAO 3000:5 P	1,00	A	028	2
203276	203276-VALVULA DE BLOQUEIO DE AR ROTATIVO DE 4 POL	1,00	J	018	1
205040	205040-PORCA BORBOLETA DE ACO PARA USO EM MAQUINA	1,00	A	028	2
205284	205284-RELE DE SOBRECARGA 25A PARA MAQUINA FERROVI	1,00	A	028	2
205286	205286-RELE DE SOBRECARGA 42A PARA MAQUINA FERROVI	1,00	A	028	2
206199	206199 - VENTILADOR 1/3 HP 460VAC, ROTACAO CW 3-FA	1,00	A	027	3
206263	CONJUNTO CABO MONTADO 15 PES DE FEEDBACK, BLINDADO	2,00	A	028	2
206263	CONJUNTO CABO MONTADO 15 PES DE FEEDBACK, BLINDADO	1,00	K	003	3
206263	CONJUNTO CABO MONTADO 15 PES DE FEEDBACK, BLINDADO	27,00	N	002	1
206370	CILINDRO HIDRAULICO 2.50B X 1.50R, 12.00 EYE CLVS,	1,00	I	025	3
206370	CILINDRO HIDRAULICO 2.50B X 1.50R, 12.00 EYE CLVS,	7,00	K	003	3
206434	206434-TRANSDUTOR DE PRESSAO 0-20 UTILIZADO PARA M	1,00	A	028	2
206831	206831-VALVULA DIRECIONAL PARA TRANSMISSAO OLEO HI	1,00	J	018	1
206959	206959-FILTRO DE AR, UTILIZADO PARA FILTRAGEM DE A	38,00	A	028	4
207052	207052-FILTRO DE PAPEL 4", 16 X 20 RESPONSAVEL PEL	30,00	A	028	3
207381	207381-TRAVA DE PLASTICO PARA O FILTRO DE VEICULO	1,00	A	028	2
207515	FUEL FILTER 4 - FF5782NN - FILTRO DE COMBUSTIVEL	12,00	I	025	2
207517	207517-MOTOR ALTERNADOR 24V - 140A PARA USO NO SET	1,00	J	018	1
207518	207518-CORREIA DE TRANSMISSAO DE BORRACHA ESTRIADA	1,00	A	027	2
209579	PARAFUSO SEXTAVADO M24X3.00X200 GR 10.9, REF. LORA	5,00	0	0	0
211091	211091-TAMPA DO COMBUSTIVEL DE MAQUINA FERROVIARIA	2,00	A	028	2
211582	211582-ELEMENTO FILTRANTE DO FILTRO DE AR PARA USO	20,00	I	025	2
213561	TALHA MANUAL, 6000LB, REF. LORAM 213561 TALHA MANU	4,00	A	030	2
214968	FUEL FILTER  SPIN ON 5 - P568666 - FILTRO COMBUSTI	3,00	I	018	1
214968	FUEL FILTER  SPIN ON 5 - P568666 - FILTRO COMBUSTI	27,00	I	023	5
214968	FUEL FILTER  SPIN ON 5 - P568666 - FILTRO COMBUSTI	28,00	J	017	1
214968	FUEL FILTER  SPIN ON 5 - P568666 - FILTRO COMBUSTI	12,00	K	007	2
22.02.124	PROTETOR FACIAL FGF 700 P/ CAPACET HB004413090 (6)	5,00	I	022	5
22.06.123	CAPACETE 3M H700 AMARELO AJ. FACIL S/R S/V (5) CAP	10,00	A	030	5
226696	226696-STARTER MOTOR PARA USO NO SETOR FERROVIARIO	1,00	I	023	4
228406	1 - P570248 - FILTRO COMBUSTIVEL	1,00	I	018	1
228406	1 - P570248 - FILTRO COMBUSTIVEL	30,00	J	017	1
228406	1 - P570248 - FILTRO COMBUSTIVEL	4,00	K	007	2
229493	229493-TRANSDUTOR DE PRESSAO PARA MAQUINA FERROVIA	1,00	A	028	3
229916	229916-TAMPA DE CAIXA DE JUNCAO, MOTOR MARATONA/BA	1,00	A	028	2
230324	DISJUNTOR CB 1600A 3P 600V; E2.2 IEC, REF. LORAM 2	1,00	0	0	0
230409	230409-CILINDRO HIDRAULICO 1.50B X 0.75R, 7.00S RE	3,00	A	028	2
231298	231298-VALVULA ESFERA 32FNPT, BRONZE 600 PSI CWP C	1,00	A	028	2
231714	FILTRO DE COMBUSTIVEL; 3 MICRON 5 - FF63010 - FILT	2,00	I	025	2
231784	231784-DISJUNTOR DE SOLENOIDE DE FECHADA 110-220 V	1,00	A	028	2
231788	231788-DISJUNTOR CB LIBERACAO SUBVOLTAGEM, 110-120	1,00	A	028	2
231830	231830-VALVULA ESFERICA 16 FNPT, BRONZE 600 PSI CW	2,00	A	028	2
232082	232082-VALVULA ESFERICA 12 FNPT, BRONZE 600 PSI CW	2,00	A	028	2
232122	232122-VALVULA ESFERICA DE BRONZE, COM ROSCA TIPO	2,00	A	028	2
233762	233762-DISJUNTOR 70A 3P 480V, TERMICO FIXO MAGNETI	5,00	A	027	2
233762	233762-DISJUNTOR 70A 3P 480V, TERMICO FIXO MAGNETI	2,00	I	025	4
233887	PLC 1756 CONTROLLER; CONTROLLOGIX 20M RAM PLC 1756	1,00	A	027	2
233900	CONECTOR DE CONDUITE POLI 0,75 POLEGADAS; 90 RESPO	1,00	0	0	0
233908	JUNTA DE CONDUITE DE POLI 0,75 POLEGADAS RESPONSAV	1,00	0	0	0
234044	CONECTOR DE CONDUITE POLI 0,75 POLEGADAS; 90 RESPO	3,00	0	0	0
234387	ELEMENTO FILTRANTE, DBE-10, REF. LORAM 234387, PAR	3,00	I	014	2
234387	ELEMENTO FILTRANTE, DBE-10, REF. LORAM 234387, PAR	8,00	J	022	1
234995	FILTRO DE OLEO LUBRIFICANTE DO MOTOR PARA USO EM M	8,00	A	028	2
234995	FILTRO DE OLEO LUBRIFICANTE DO MOTOR PARA USO EM M	8,00	I	025	2
234996	234996-ROTOR DE SERVICO DO CENTRIFUGADOR DE MAQUIN	2,00	A	028	2
235493	ALICATE DE TRAVA AJUSTAVEL 6-1/2", REF. LORAM 2354	1,00	A	027	2
236305	236305-MODULO DO CONTROLADOR LOGICO PROGRAMAVEL PA	1,00	J	018	1
23639	KIT DE ANEL O RING GR069 MILIMETRO JG DE ANEIS DE	2,00	A	026	4
237792	237792-VALVULA BORBOLETA 2,00 IN, SPR RETORNO PNEU	2,00	J	021	1
238766	238766-VALVULA PROPORCIONAL D03 4W 7.9 GPM OBE 24V	1,00	A	027	2
238766	238766-VALVULA PROPORCIONAL D03 4W 7.9 GPM OBE 24V	1,00	K	003	3
238832	EVAPORADOR 18K BTU, AR CONDICIONADO SPLIT PARA USO	2,00	J	025	5
239438	CONECTOR DE CONDUITE POLI 1,00 POLEGADAS; DIRETO R	4,00	0	0	0
239447	CONDUITE POLI 1,00 POLEGADAS RESPONSAVEL PELA PASS	4,00	0	0	0
239749	DISJUNTOR 40A 3P 600V, XT1 CASE FIXO DISJUNTOR 40A	4,00	A	027	2
239751	KIT DE TRILHO PARA DISJUNTOR KIT DE TRILHO PARA DI	1,00	A	027	2
239752	239752-DISJUNTOR 100A 3 P 600V, PARA USO NO SETOR	1,00	J	021	1
239820	CONTATOS AUXILIARES XT1-XT4, 2X FORMA C, PARA DISJ	1,00	A	027	2
240078	DISJUNTOR 60A 3P 600V, XT1 ADJ CASE MOLDADO DISJUN	1,00	A	028	2
240397	DISJUNTOR 200A 3P 600V, XT4 ADJ CASE MOLDADO DISJU	1,00	A	028	2
24118	EXTINTOR ABC 4 KG EXTINTOR PQS ABC 04 KG	4,00	I	014	2
241196	CONJUNTO CONSTITUIDO DE BOMBA HIDRAULICA COM MOTOR	1,00	I	025	2
241831	241831-HASTE, FIM DO TRADO RESPONSAVEL PELO DESCAR	1,00	A	028	2
242972	LUBE OIL FILTER - FLEETGUARD 3 - LF9070 - FILTRO O	7,00	D	P	1
242972	LUBE OIL FILTER - FLEETGUARD 3 - LF9070 - FILTRO O	2,00	K	007	2
242972	LUBE OIL FILTER - FLEETGUARD 3 - LF9070 - FILTRO O	12,00	K	021	1
244140	244140-EVAPORADOR 12K BTU, MONTADO NA PAREDE PARA	1,00	A	027	3
245675	245675-PROTETOR DE SOBRECARGA ELETRICA COM 6-60A 4	3,00	K	020	1
245881	245881-BOTAO INTERRUPTOR PARA MAQUINA FERROVIARIA	1,00	A	028	2
253107	253107-EXAUSTOR SOPRADOR CENTRIFUGO DO MOTOR PARA	1,00	A	029	3
254058	254058-FAROL LED PAR56, 24VDC 77W AQUECIDO VNSP UT	1,00	I	025	4
254363	254363-ESTRUTURA SOLDADA TIPO A RESPONSAVEL PELA S	4,00	0	0	0
255115	255115-CAMERA DE VIDEO 2.1MP HD, SAIDAS HD-ANALOG	1,00	A	028	2
259818	259818-DISJUNTOR 1V, 1.6A PARA USO NO SETOR FERROV	1,00	A	027	2
259819	259819-DISJUNTOR 1.6V, 2.5A PARA USO NO SETOR FERR	1,00	A	027	2
259819	259819-DISJUNTOR 1.6V, 2.5A PARA USO NO SETOR FERR	1,00	K	003	3
259825	259825-DISJUNTOR 10V, 16A PARA USO NO SETOR FERROV	1,00	A	027	2
259826	259826-DISJUNTOR 14.5V, 20A PARA USO NO SETOR FERR	1,00	A	027	2
259828	259828-DISJUNTOR 2.5V, 4A PARA USO NO SETOR FERROV	1,00	A	027	2
259829	259829-DISJUNTOR 6.3V, 10A PARA USO NO SETOR FERRO	1,00	A	027	2
259830	259830-DISJUNTOR 18V, 25A PARA USO NO SETOR FERROV	1,00	A	027	2
26301	SANDUICHEIRA GRILL BRITANIA SANDUICHEIRA E GRILL B	1,00	0	0	0
26471	MESA RETANGULAR MEDIDAS 1600X740X600MM	1,00	B	003	6
267928	DISJUNTOR ASSY 800A 3P 600V; XT6 FRAME W/LOCK, COM	1,00	K	020	1
269011	CABO USB 2.0A TO B,50 FT, PVC PRETO JACKET PARA US	4,00	J	022	1
27201	BOTINA CADARCO 50B29C PAP MEX SRV 37 BOTINA AMAR B	8,00	I	023	2
27217	BOTINA CADARCO 50B29C PAP MEX SRV 38 BOTINA AMAR B	13,00	I	023	2
27223	BOTINA CADARCO 50B29C PAP MEX SRV 39 BOTINA AMAR B	18,00	I	023	1
33.02.014	CINTO PARAQUEDISTA MG 1891E CINTURAO POLISTER 4PT	1,00	J	021	2
33.02.014	CINTO PARAQUEDISTA MG 1891E CINTURAO POLISTER 4PT	14,00	J	023	2
33.04.001	TALABARTE MG MULT C/ABSORV. FITA AM 1892A TALABART	20,00	J	021	2
33.04.001	TALABARTE MG MULT C/ABSORV. FITA AM 1892A TALABART	18,00	K	022	2
33413	OCULOS LIBUS ECO LINE CINZA AR OCULOS LIBUS ECO LI	7,00	A	027	2
34023	FILTRO CARTUCHO THERMOWEB P034015-016-190 ELEMENTO	19,00	I	004	7
34023	FILTRO CARTUCHO THERMOWEB P034015-016-190 ELEMENTO	27,00	I	018	7
34023	FILTRO CARTUCHO THERMOWEB P034015-016-190 ELEMENTO	6,00	J	019	1
34128	BOTINA CADARCO 50B29C PAP MEX SRV 40 BOTINA AMAR B	19,00	I	021	2
34128	BOTINA CADARCO 50B29C PAP MEX SRV 40 BOTINA AMAR B	4,00	N	017	1
34909	CADEIRA FIXA EXECUTIVA, COM BRACO	5,00	B	007	6
35412	PN 115751 - BLOCO COM 36 TERMINAIS PARA CONECTAR C	1,00	A	027	2
35429	PN 117076 - CONECTOR COAXIAL RG6 DE 75 OHM - ROCKW	40,00	A	028	2
35435	PN 160404 - MODULO DE 32 ENTRADAS DIGITAIS 24VCC -	6,00	A	028	2
35458	PN 148061 - CABO DE INTERLIGACAO 1M PARA IFM - ROC	1,00	A	028	2
35464	PN 106494 - MODULO DE INTERFACE 40 P ONTOS 0-132 A	1,00	A	028	2
35471	PN 114351 - MODULO DE 16 SAIDAS A RELE ISOLADAS -	4,00	A	028	2
35487	PN 160410 - MODULO INTERFACE COMUNICACAO CONTROLNE	1,00	A	027	2
35493	PN 128270 - MODULO DE 16 ENTRADAS DIGITAIS SINK 24	1,00	0	0	0
35501	PN 117077 - KIT FERRAMENTAS - ROCKWELL(117077) PN	1,00	A	027	2
35518	PN 114502 - TAMPA PARA RANHURA VAZIA NO CHASSI - R	1,00	A	028	2
35531	PN 126450 - BLOCO CONTATO AUXILIAR FRONTAL 4NA - R	1,00	A	028	2
35547	PN 114476 - MODULO DE INTERFACE 6 PONTOS ISOLADOS	1,00	A	028	2
35553	PN 119058 - RELE ELETROMECANICO, SPDT (1 C/O), TER	1,00	A	028	2
35560	PN 123408 - MODULO ETHERNET IP - 128 CONEXOES CONT	5,00	J	018	1
35576	PN 123731 - DISJUNTOR DE PROTECAO DO MOTOR 6.3 - 1	4,00	A	027	2
